Papel;Empresa;Setor;Subsetor;Cotação;Valor da Firma;Valor de Mercado;Número de Ações;P/L;Div. Yield;EV/EBITDA;EV/EBIT;ROE;ROIC;Lucro Líquido (ano)
HAPV3;HAPVIDA ON NM;Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;6261;46.241.400.000;46.518.400.000;742.986.000;5380;0,3;2691;3659;11,2;11,7;864.599.000
GUAR3;GUARARAPES CONFECÇÕES ON;Comércio;Tecidos, Vestuário e Calçados;1787;10.534.600.000;8.920.700.000;499.200.000;5417;2,8;1837;16315;3,4;0,7;164.677.000
FLRY3;FLEURY ON NM;Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;2498;8.763.590.000;7.927.800.000;317.366.000;5981;2,9;1356;2723;8,6;7,7;132.558.000
TOTS3;TOTVS ON NM;Programas e Serviços;Programas e Serviços;2810;15.332.300.000;16.239.400.000;577.913.000;6242;0,7;1388;1631;10,3;26,7;260.179.000
GNDI3;INTERMEDICA ON NM;Saúde;Serviços Médico - Hospitalares, Análises e Diagnósticos;6917;41.706.000.000;41.757.400.000;603.693.000;6789;0,2;2625;3236;9,1;10,6;615.085.000
RAIL3;ALL - AMÉRICA LATINA LOGÍSTICA S/A ON NM;Transporte;Transporte Ferroviário;2256;46.830.300.000;35.171.400.000;1.559.020.000;7338;0,0;1287;2431;5,9;6,1;479.293.000
VULC3;VULCABRAS S/A. ON;Tecidos, Vestuário e Calçados;Calçados;611;1.457.640.000;1.501.570.000;245.756.000;7321;0,0;967;2150;2,0;5,9;20.511.000
ALSO3;ALIANSCSONAE ON;Exploração de Imóveis;Exploração de Imóveis;2773;6.038.880.000;7.369.890.000;265.773.000;7527;0,0;906;1321;1,5;4,8;97.914.000
WEGE3;WEG SA ON N1;Máquinas e Equipamentos;Motores, Compressores e Outros;6760;141.144.000.000;141.869.000.000;2.098.660.000;7574;0,7;4785;5571;18,1;17,8;1.873.130.000
ALPA4;ALPARGATAS PN N1;Tecidos, Vestuário e Calçados;Calçados;3675;21.469.800.000;21.611.300.000;588.062.000;8129;0,2;3334;4437;9,3;12,9;265.853.000
UNIP6;UNIPAR PARTICIPAÇÕES S.A. PNB;Químicos;Petroquímicos;2950;2.824.210.000;2.820.700.000;95.617.000;8209;1,5;558;911;2,5;10,0;34.362.000
LAME3;LOJAS AMERICANAS S.A. ON;Comércio;Produtos Diversos;2839;60.691.400.000;53.007.400.000;1.867.110.000;9007;0,6;1684;2838;10,9;12,5;588.544.000
UGPA3;ULTRAPAR PARTICIPAÇÕES SA ON;Holdings Diversificadas;Holdings Diversificadas;2073;35.673.500.000;23.114.100.000;1.115.010.000;9912;1,2;1278;2230;2,6;6,5;233.189.000
PDTC3;PADTEC ON;Programas e Serviços;Programas e Serviços;615;495.892.000;482.467.000;78.450.000;9991;0,0;25535;50447;5,5;0,4;4.829.000
LAME4;LOJAS AMERICANAS S.A. PN;Comércio;Produtos Diversos;3302;69.336.200.000;61.652.100.000;1.867.110.000;10475;0,5;1924;3242;10,9;12,5;588.544.000
MTRE3;MITRE REALTY ON NM;Construção e Engenharia;Construção Civil;1436;753.216.000;1.518.930.000;105.775.000;10600;0,0;2790;2996;1,5;6,5;14.329.000
ARZZ3;AREZZO CO ON NM;Comércio;Tecidos, Vestuário e Calçados;5320;4.874.480.000;4.838.750.000;90.954.000;11516;0,7;4744;24886;6,3;1,9;42.019.000
POSI3;POSITIVO INF ON NM;Computadores e Equipamentos;Computadores e Equipamentos;513;1.000.730.000;727.434.000;141.800.000;12242;0,6;1267;2872;0,7;2,3;5.942.000
MOVI3;MOVIDA ON NM;Diversos;Aluguel de Carros;1662;6.985.590.000;4.968.070.000;298.921.000;15244;1,8;782;1355;1,5;11,4;32.590.000
OMGE3;OMEGA GER ON NM;Energia Elétrica;Energia Elétrica;3742;6.370.090.000;6.366.380.000;170.133.000;25906;0,0;1597;2214;899,6;4.178,6;24.575.000
JBSS3;JBS ON NM;Alimentos;Carnes e Derivados;2438;119.516.000.000;64.999.000.000;2.666.080.000;27269;2,3;467;640;0,7;15,6;238.361.000
MGLU3;MAGAZ LUIZA ON NM;Comércio;Eletrodomésticos;8735;140.603.000.000;141.920.000.000;1.624.730.000;38423;0,2;11345;23200;5,0;5,0;369.364.000
LWSA3;LOCAWEB ON NM;Programas e Serviços;Programas e Serviços;5730;6.846.740.000;7.213.500.000;125.890.000;45399;0,0;6972;16135;2,5;7,0;15.889.000
BIDI3;INTER BANCO ON N2;Financeiros;Bancos;1895;-;13.396.800.000;706.953.000;55117;0,5;-;-;1,1;-;24.306.000
BIDI11;INTER BANCO UNT N2;Financeiros;Bancos;6170;-;14.539.700.000;706.953.000;59819;0,5;-;-;1,1;-;24.306.000
BIDI4;INTER BANCO PN N2;Financeiros;Bancos;2133;-;15.079.300.000;706.953.000;62039;0,4;-;-;1,1;-;24.306.000
LINX3;LINX ON NM;Programas e Serviços;Programas e Serviços;3580;6.476.900.000;6.780.840.000;189.409.000;2.27851;0,3;2247;4340;0,2;8,1;2.976.000
SQIA3;SINQIA ON;Programas e Serviços;Programas e Serviços;2539;1.532.640.000;1.791.240.000;70.549.000;76223;0,0;7075;63175;0,5;0,9;2.350.000
